epoch,split,loss,cls_loss,distill_loss
1,train,8.815535130708113,8.416738966236943,0.7975923263508341
1,val,7.633960564931233,7.235281944274902,0.7973573803901672
2,train,5.59572488328685,5.19699852362923,0.7974526415700498
2,val,3.2944933573404946,2.895690600077311,0.7976055343945821
3,train,2.4093827501587244,2.010562232007151,0.7976410077965778
3,val,2.152119199434916,1.7532913287480671,0.797655721505483
4,train,1.8943862396737803,1.4956449011097783,0.7974826719449915
4,val,1.868227203687032,1.4697269996007283,0.7970004479090372
5,train,1.6075494393058445,1.208608294310777,0.7978823055391726
5,val,1.6306446393330891,1.231748898824056,0.7977915406227112
6,train,1.4459490983382515,1.0470812009728474,0.7977358361949092
6,val,1.50832200050354,1.1100666721661885,0.7965107162793478
7,train,1.311286387236222,0.9125369890876438,0.7974988014801688
7,val,1.4945172866185505,1.0958776076634724,0.7972793579101562
8,train,1.190068058345629,0.7912137767542964,0.7977085554081461
8,val,1.4232168992360432,1.024643083413442,0.7971476912498474
9,train,1.1118406808894614,0.7130226143028425,0.7976361409477566
9,val,1.400195320447286,1.0014540354410808,0.7974825501441956
10,train,1.0411473175753718,0.6423361288464587,0.7976223800493323
10,val,1.356541911760966,0.9577224055926005,0.7976389726003011
